type,rating_category,Duration_Category,movie_age,country_category,Directors,Title_Words,Content Age
Movie,Adult,Medium,5,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,India,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,4,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
Movie,Adult,Very Long,32,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Teen/Young Adult,Series(X Seasons),4,United Kingdom,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Long,4,United States,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Very Long,4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Family-friendly,Long,4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,United States,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Adult,Medium,5,Other Countries,Other Directors,6-10 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),5,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
Movie,Teen/Young Adult,Long,4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
TV Show,Adult,Series(X Seasons),4,Other Countries,Other Directors,1-5 Words,New Releases (0-5 years)
